,pop_size,mutation,crossover,selection,selection_param,elitism,max_gen,xo_prob,mut_prob,avg_fitness,std_fitness,avg_conv_gen,avg_conv_time,fitness_scores
0,50,swap_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.8,0.3,70190.0,2547.33,91.13,1.54,"[70200.0, 70100.0, 70700.0, 72100.0, 69100.0, 70200.0, 66200.0, 73800.0, 73300.0, 69300.0, 71100.0, 71200.0, 71900.0, 73500.0, 66200.0, 66000.0, 69100.0, 70300.0, 70200.0, 71400.0, 74600.0, 72500.0, 69800.0, 73800.0, 69900.0, 66400.0, 65300.0, 72700.0, 67600.0, 67200.0]"
1,50,swap_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.8,0.2,67780.0,2698.81,91.2,1.43,"[62900.0, 64700.0, 65500.0, 71200.0, 70100.0, 66600.0, 68300.0, 65700.0, 64900.0, 69100.0, 68200.0, 68500.0, 68600.0, 66700.0, 61400.0, 66100.0, 68300.0, 67800.0, 69900.0, 73700.0, 69100.0, 64800.0, 69200.0, 68300.0, 69500.0, 69800.0, 70800.0, 63500.0, 68900.0, 71300.0]"
2,50,swap_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.9,0.3,71260.0,2968.34,91.9,1.43,"[66000.0, 73100.0, 75600.0, 71300.0, 70400.0, 73300.0, 69500.0, 71600.0, 70700.0, 73700.0, 76700.0, 73100.0, 70200.0, 72300.0, 73400.0, 72500.0, 66500.0, 74500.0, 71900.0, 68500.0, 63700.0, 68900.0, 70600.0, 70200.0, 68100.0, 73000.0, 72900.0, 68300.0, 70700.0, 76600.0]"
3,50,swap_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.9,0.2,67963.33,2959.56,92.3,1.43,"[61000.0, 69200.0, 66300.0, 70600.0, 69700.0, 67400.0, 67500.0, 69500.0, 72800.0, 65800.0, 72100.0, 70900.0, 62700.0, 66000.0, 68300.0, 68200.0, 72300.0, 69300.0, 67100.0, 68400.0, 68000.0, 63400.0, 69500.0, 73300.0, 62900.0, 69400.0, 68200.0, 65300.0, 66100.0, 67700.0]"
4,50,swap_mutation,group_preserving_order_crossover,tournament,5.0,True,100,0.8,0.3,70040.0,2957.77,95.1,3.12,"[73100.0, 70300.0, 73900.0, 70200.0, 72000.0, 77600.0, 69000.0, 68300.0, 66000.0, 67500.0, 68800.0, 67200.0, 67900.0, 71800.0, 73400.0, 72000.0, 71300.0, 71300.0, 66600.0, 70700.0, 69900.0, 68900.0, 75100.0, 68100.0, 70000.0, 64000.0, 73500.0, 68000.0, 65800.0, 69000.0]"
5,50,swap_mutation,group_preserving_order_crossover,tournament,7.0,True,100,0.8,0.3,69753.33,2722.59,91.9,3.96,"[70600.0, 65600.0, 69000.0, 72100.0, 75100.0, 73600.0, 70800.0, 65300.0, 66500.0, 71000.0, 71900.0, 67500.0, 71900.0, 68000.0, 68500.0, 70000.0, 66000.0, 72500.0, 65700.0, 69500.0, 69000.0, 66400.0, 71400.0, 70900.0, 70500.0, 73100.0, 64900.0, 70800.0, 72100.0, 72400.0]"
6,50,swap_mutation,group_preserving_order_crossover,tournament,5.0,True,100,0.8,0.2,68506.67,3681.75,93.07,4.61,"[71700.0, 67100.0, 68600.0, 70000.0, 72900.0, 68700.0, 70400.0, 63200.0, 72400.0, 66000.0, 66800.0, 68600.0, 62600.0, 70300.0, 77400.0, 65100.0, 66400.0, 68700.0, 72800.0, 60800.0, 66400.0, 71900.0, 68500.0, 69900.0, 68100.0, 72200.0, 63400.0, 63000.0, 68600.0, 72700.0]"
7,50,swap_mutation,group_preserving_order_crossover,tournament,7.0,True,100,0.8,0.2,66413.33,2886.84,93.17,4.96,"[65500.0, 67400.0, 68300.0, 71000.0, 63500.0, 66800.0, 67000.0, 68100.0, 64900.0, 63600.0, 71700.0, 65700.0, 67600.0, 65300.0, 69000.0, 65000.0, 61800.0, 62600.0, 60700.0, 64900.0, 67100.0, 69400.0, 64700.0, 68700.0, 66100.0, 64700.0, 74000.0, 63500.0, 68300.0, 65500.0]"
8,50,swap_mutation,group_preserving_order_crossover,tournament,5.0,True,100,0.9,0.3,69516.67,2209.39,95.43,4.02,"[67800.0, 70500.0, 73200.0, 68000.0, 68100.0, 69300.0, 72200.0, 66400.0, 69300.0, 72600.0, 69000.0, 70600.0, 66500.0, 73200.0, 70700.0, 67800.0, 70300.0, 67400.0, 70200.0, 69200.0, 67500.0, 71600.0, 68100.0, 70300.0, 64600.0, 71500.0, 67000.0, 73800.0, 69700.0, 69100.0]"
9,50,swap_mutation,group_preserving_order_crossover,tournament,7.0,True,100,0.9,0.3,69246.67,3579.73,93.83,4.83,"[74000.0, 71300.0, 70100.0, 70100.0, 74700.0, 71100.0, 71900.0, 71900.0, 66300.0, 60900.0, 65500.0, 64200.0, 68800.0, 69800.0, 66800.0, 73000.0, 67000.0, 71400.0, 72800.0, 69400.0, 62400.0, 68100.0, 68400.0, 70800.0, 72400.0, 63700.0, 65600.0, 69000.0, 70300.0, 75700.0]"
10,50,swap_mutation,group_preserving_order_crossover,tournament,5.0,True,100,0.9,0.2,68326.67,3403.72,93.07,3.92,"[71300.0, 65600.0, 66600.0, 63000.0, 67700.0, 65700.0, 66200.0, 67700.0, 74900.0, 67900.0, 67800.0, 74700.0, 74600.0, 63100.0, 69700.0, 69800.0, 62200.0, 62900.0, 67800.0, 71800.0, 63700.0, 70300.0, 69900.0, 67800.0, 70100.0, 66800.0, 71900.0, 69300.0, 70800.0, 68200.0]"
11,50,swap_mutation,group_preserving_order_crossover,tournament,7.0,True,100,0.9,0.2,67730.0,2678.7,90.8,4.69,"[65600.0, 65800.0, 66800.0, 70900.0, 68600.0, 63700.0, 69200.0, 69200.0, 67600.0, 67100.0, 63000.0, 69500.0, 67600.0, 60400.0, 69100.0, 67900.0, 70900.0, 69700.0, 63300.0, 67300.0, 69800.0, 69700.0, 72400.0, 68400.0, 69600.0, 69000.0, 63800.0, 69500.0, 66700.0, 69800.0]"
12,50,swap_mutation,pmx_table_block_crossover,rank,1.0,True,100,0.8,0.3,69986.67,2774.98,92.1,1.75,"[67900.0, 72600.0, 71200.0, 71200.0, 68900.0, 68700.0, 66800.0, 71500.0, 69000.0, 64800.0, 70800.0, 65600.0, 68100.0, 69100.0, 73900.0, 70300.0, 71000.0, 66200.0, 71100.0, 72000.0, 69400.0, 70300.0, 72800.0, 77300.0, 66600.0, 67000.0, 71700.0, 75000.0, 70500.0, 68300.0]"
13,50,swap_mutation,pmx_table_block_crossover,rank,1.0,True,100,0.8,0.2,67683.33,3434.44,89.5,2.62,"[67400.0, 63100.0, 64700.0, 67100.0, 69400.0, 76100.0, 71300.0, 63900.0, 64400.0, 66500.0, 61800.0, 68600.0, 64800.0, 67100.0, 67300.0, 64700.0, 62900.0, 71500.0, 72400.0, 67500.0, 72300.0, 70100.0, 69100.0, 72100.0, 65400.0, 69000.0, 72900.0, 65300.0, 67000.0, 64800.0]"
14,50,swap_mutation,pmx_table_block_crossover,rank,1.0,True,100,0.9,0.3,70613.33,2970.72,92.3,2.02,"[64900.0, 71800.0, 70500.0, 75800.0, 72200.0, 68700.0, 72700.0, 67100.0, 67000.0, 70600.0, 70400.0, 73400.0, 67900.0, 73100.0, 72400.0, 67100.0, 71100.0, 70100.0, 76700.0, 71600.0, 71500.0, 72500.0, 69800.0, 70600.0, 63600.0, 73000.0, 67500.0, 73900.0, 72900.0, 68000.0]"
15,50,swap_mutation,pmx_table_block_crossover,rank,1.0,True,100,0.9,0.2,67320.0,2702.76,93.9,1.83,"[69300.0, 69500.0, 64100.0, 69700.0, 69100.0, 71000.0, 69000.0, 63100.0, 64800.0, 67700.0, 67600.0, 69700.0, 63800.0, 66900.0, 58700.0, 66000.0, 67700.0, 66000.0, 69000.0, 68800.0, 70500.0, 67500.0, 64900.0, 70000.0, 64800.0, 69100.0, 69100.0, 68200.0, 69500.0, 64500.0]"
16,50,swap_mutation,pmx_table_block_crossover,tournament,5.0,True,100,0.8,0.3,70696.67,2818.45,94.4,3.89,"[69900.0, 71600.0, 72000.0, 68600.0, 75900.0, 73100.0, 74800.0, 70600.0, 70000.0, 71900.0, 73300.0, 66900.0, 68900.0, 69600.0, 74800.0, 67200.0, 72300.0, 69600.0, 64500.0, 66500.0, 69100.0, 68800.0, 74600.0, 73800.0, 71900.0, 71600.0, 73500.0, 69200.0, 66100.0, 70300.0]"
17,50,swap_mutation,pmx_table_block_crossover,tournament,7.0,True,100,0.8,0.3,69220.0,2945.55,89.63,5.12,"[69800.0, 71100.0, 73400.0, 68600.0, 71700.0, 70700.0, 68800.0, 67700.0, 64600.0, 69300.0, 74800.0, 67600.0, 76100.0, 63700.0, 65900.0, 68000.0, 67800.0, 66400.0, 67500.0, 72200.0, 68700.0, 64200.0, 72900.0, 66600.0, 70800.0, 68600.0, 67900.0, 71800.0, 68500.0, 70900.0]"
18,50,swap_mutation,pmx_table_block_crossover,tournament,5.0,True,100,0.8,0.2,67680.0,3558.6,93.5,3.85,"[71100.0, 64100.0, 61100.0, 68000.0, 58500.0, 73300.0, 67500.0, 70500.0, 68600.0, 62700.0, 71100.0, 64700.0, 71000.0, 67300.0, 66000.0, 70800.0, 68700.0, 63300.0, 68200.0, 72400.0, 71900.0, 62000.0, 68100.0, 68500.0, 66200.0, 66400.0, 68800.0, 68800.0, 71700.0, 69100.0]"
19,50,swap_mutation,pmx_table_block_crossover,tournament,7.0,True,100,0.8,0.2,68553.33,2402.6,92.4,4.92,"[69600.0, 65600.0, 65000.0, 65200.0, 68700.0, 70200.0, 74700.0, 66900.0, 67700.0, 65800.0, 66300.0, 70200.0, 67600.0, 67300.0, 67800.0, 69500.0, 70600.0, 69600.0, 73000.0, 70700.0, 71700.0, 68300.0, 65800.0, 65900.0, 70300.0, 68700.0, 70100.0, 65000.0, 68300.0, 70500.0]"
20,50,swap_mutation,pmx_table_block_crossover,tournament,5.0,True,100,0.9,0.3,71286.67,3103.95,93.43,3.88,"[71500.0, 72400.0, 71800.0, 65900.0, 69600.0, 69600.0, 70800.0, 75800.0, 67600.0, 72200.0, 67700.0, 75100.0, 78400.0, 75500.0, 71600.0, 69100.0, 72500.0, 72700.0, 68000.0, 72600.0, 67900.0, 69500.0, 72900.0, 70100.0, 67600.0, 74900.0, 66800.0, 75400.0, 68500.0, 74600.0]"
21,50,swap_mutation,pmx_table_block_crossover,tournament,7.0,True,100,0.9,0.3,71396.67,2973.49,92.9,5.56,"[68900.0, 70700.0, 68600.0, 69200.0, 69300.0, 73800.0, 69600.0, 75100.0, 76500.0, 71900.0, 77700.0, 72900.0, 69200.0, 65600.0, 73800.0, 70400.0, 70700.0, 70100.0, 70900.0, 73800.0, 70200.0, 70900.0, 75100.0, 68000.0, 69300.0, 73800.0, 76800.0, 73500.0, 67300.0, 68300.0]"
22,50,swap_mutation,pmx_table_block_crossover,tournament,5.0,True,100,0.9,0.2,69223.33,3725.02,89.83,4.02,"[69600.0, 70500.0, 73400.0, 74200.0, 71100.0, 72300.0, 68000.0, 68800.0, 74500.0, 71800.0, 65700.0, 60600.0, 71300.0, 67300.0, 76200.0, 66100.0, 75000.0, 65000.0, 59900.0, 65200.0, 66700.0, 68200.0, 69600.0, 70000.0, 68400.0, 69300.0, 69000.0, 67900.0, 69700.0, 71400.0]"
23,50,swap_mutation,pmx_table_block_crossover,tournament,7.0,True,100,0.9,0.2,68603.33,3578.03,89.87,4.78,"[65200.0, 65300.0, 78600.0, 70000.0, 74200.0, 71400.0, 64600.0, 66200.0, 71600.0, 68100.0, 67800.0, 71500.0, 69700.0, 62400.0, 67900.0, 71100.0, 70300.0, 71900.0, 70700.0, 67500.0, 71400.0, 66900.0, 62700.0, 68900.0, 69200.0, 71100.0, 63600.0, 68600.0, 62700.0, 67000.0]"
24,50,scramble_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.8,0.3,60403.33,3145.21,89.87,1.89,"[60300.0, 63100.0, 53700.0, 56000.0, 58900.0, 61400.0, 62800.0, 60400.0, 60200.0, 55800.0, 55900.0, 63000.0, 61100.0, 59500.0, 59300.0, 61000.0, 64600.0, 58000.0, 65900.0, 60100.0, 65000.0, 58800.0, 57900.0, 57000.0, 63800.0, 57700.0, 59400.0, 60800.0, 64700.0, 66000.0]"
25,50,scramble_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.8,0.2,57530.0,3400.21,89.43,1.57,"[58600.0, 54900.0, 55300.0, 55900.0, 55100.0, 61300.0, 50500.0, 54800.0, 59000.0, 52900.0, 57700.0, 60100.0, 64500.0, 57100.0, 57600.0, 55400.0, 64700.0, 56600.0, 58900.0, 60300.0, 54100.0, 52800.0, 59200.0, 55600.0, 62600.0, 62700.0, 57800.0, 53700.0, 58500.0, 57700.0]"
26,50,scramble_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.9,0.3,58710.0,3419.59,90.73,1.49,"[59500.0, 63300.0, 56900.0, 56200.0, 59600.0, 55400.0, 59800.0, 57200.0, 62100.0, 55900.0, 52400.0, 56700.0, 57400.0, 56300.0, 63400.0, 59800.0, 62700.0, 55500.0, 63200.0, 66600.0, 56100.0, 63900.0, 60400.0, 55000.0, 59700.0, 58700.0, 59900.0, 59900.0, 53100.0, 54700.0]"
27,50,scramble_mutation,group_preserving_order_crossover,rank,1.0,True,100,0.9,0.2,57983.33,3639.7,85.7,1.35,"[60600.0, 53600.0, 56300.0, 58600.0, 62300.0, 51800.0, 62900.0, 63700.0, 57000.0, 56600.0, 62900.0, 64800.0, 54100.0, 55300.0, 56800.0, 59200.0, 59200.0, 55500.0, 53400.0, 56800.0, 56200.0, 54600.0, 53900.0, 56100.0, 67000.0, 58600.0, 59500.0, 59000.0, 55600.0, 57600.0]"
28,50,scramble_mutation,group_preserving_order_crossover,tournament,5.0,True,100,0.8,0.3,61423.33,3027.95,89.7,3.01,"[64100.0, 67000.0, 60800.0, 61600.0, 60200.0, 58300.0, 58100.0, 61600.0, 55200.0, 63300.0, 59800.0, 64700.0, 59400.0, 63400.0, 64300.0, 59800.0, 59400.0, 65200.0, 66500.0, 58200.0, 64300.0, 63100.0, 60800.0, 60400.0, 58200.0, 59400.0, 59600.0, 58200.0, 67900.0, 59900.0]"
29,50,scramble_mutation,group_preserving_order_crossover,tournament,7.0,True,100,0.8,0.3,61743.33,3451.44,92.7,3.78,"[64600.0, 59800.0, 57800.0, 59100.0, 64600.0, 60500.0, 56000.0, 60600.0, 58200.0, 55700.0, 65300.0, 62500.0, 63800.0, 62300.0, 66600.0, 60000.0, 61900.0, 61100.0, 61800.0, 63100.0, 62400.0, 57300.0, 66200.0, 57100.0, 71300.0, 63500.0, 58500.0, 61600.0, 63900.0, 65200.0]"
30,50,scramble_mutation,group_preserving_order_crossover,tournament,5.0,True,100,0.8,0.2,59116.67,3611.19,86.3,2.93,"[55200.0, 61200.0, 55200.0, 57500.0, 66500.0, 61000.0, 61800.0, 54400.0, 50400.0, 53100.0, 56500.0, 65200.0, 63500.0, 59400.0, 61100.0, 61400.0, 56800.0, 63400.0, 59100.0, 62400.0, 54100.0, 59000.0, 58700.0, 60300.0, 61300.0, 58300.0, 61300.0, 57900.0, 60800.0, 56700.0]"
